date_utc,rail,campaign,amount_usdc,recipient_wallet,tx_hash,receipt
2026-09-03T01:32:01.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x29b9a5ff5b984e74604d206f74a53c1517ad833d77b6d8770503b30f1c39a38,0x6994190edba18d04857b4e2a2246d641778df68029a594a6a0ef720639765b5,https://sagepays.xyz/proof/0x6994190edba18d04857b4e2a2246d641778df68029a594a6a0ef720639765b5
2026-09-03T01:22:12.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x773c080d6826a0f4856a298a6c70ed91931717a9f3c8425aad3adfebb8047e4,0x728e686349a66a5c7fa5d7cac97fa46454027b677abe79f54b8401d4be7c838,https://sagepays.xyz/proof/0x728e686349a66a5c7fa5d7cac97fa46454027b677abe79f54b8401d4be7c838
2026-09-03T01:17:37.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x7054446cdadaddedf40f1a31c2961b8b5d12295a695d41cf38cad81a427aa67,0x7525f46049305857a42a7c119c455b41109de5b7d4ea4ed7881d002a84e2d3d,https://sagepays.xyz/proof/0x7525f46049305857a42a7c119c455b41109de5b7d4ea4ed7881d002a84e2d3d
2026-09-03T01:05:58.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x499b03b05e4409e1a48de30aac576381d6f650ad6c36fec664301bec8da11d5,0x11636362caf0f7b3b689a4d4c0bd7e924d1f843207fab879915ea6379caad30,https://sagepays.xyz/proof/0x11636362caf0f7b3b689a4d4c0bd7e924d1f843207fab879915ea6379caad30
2026-09-03T00:51:07.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x604dbbda5cdefb597b82894a4aae05ca85a66503d6ae6056de0d12cbe1c53b1,0x7b00282bd793bc660e8714f8f4183ddf6a4a9e03f00755b4b9e7636c5c44614,https://sagepays.xyz/proof/0x7b00282bd793bc660e8714f8f4183ddf6a4a9e03f00755b4b9e7636c5c44614
2026-09-03T00:48:24.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x5e58fce8a55a23025f45b66251d93cb93b9f7514607f1c8cc3e94211ebd5d8f,0x2063ccd47f89c079d02058515e942e79df4b4fce0f8dc93a45d5990ebd4361d,https://sagepays.xyz/proof/0x2063ccd47f89c079d02058515e942e79df4b4fce0f8dc93a45d5990ebd4361d
2026-09-03T00:41:09.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x7036396a89115b6a77446d0e90dce312ef4aaa4b01960bf12910e84195fe5ca,0x4862ddb100ba83164eb1b5d4933611d74b3c559edebb3bb58450f7868953233,https://sagepays.xyz/proof/0x4862ddb100ba83164eb1b5d4933611d74b3c559edebb3bb58450f7868953233
2026-09-03T00:11:34.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x4a4e04babb990b9f7e8a7afb0900222624665026431158b5031b46687211526,0xb6b945124d9a34122ddc4b62cdf860622fb2d14e0c530f4ef3692f92a1bdf3,https://sagepays.xyz/proof/0xb6b945124d9a34122ddc4b62cdf860622fb2d14e0c530f4ef3692f92a1bdf3
2026-09-03T00:07:44.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x1d9029ec661f4ecf11c9d34255d923af47fcd62ebd25486f8e42fec94e7367c,0x3a19bcf544c2aa86d1a062e459bf59bc0ced3eb7f18b70345b686fd9915b5,https://sagepays.xyz/proof/0x3a19bcf544c2aa86d1a062e459bf59bc0ced3eb7f18b70345b686fd9915b5
2026-09-02T23:37:44.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",1.10,0x775e78dc7035cd00f0192452d326ba3467cbe06661c4d5d04816dd5f46a25ab,0x23d7b41087726120d9eeb40f89ee336fa7fdaea5cfca9abaf83eb364023a137,https://sagepays.xyz/proof/0x23d7b41087726120d9eeb40f89ee336fa7fdaea5cfca9abaf83eb364023a137
2026-08-30T21:13:09.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",0.50,0x5db1a00fa6ad44e82de90cae46d82cd5ce052394320d60946ef661db68e3048,0x2b03ed6532b29771723c996a667b468e367935d0c2ff839840d5f00656449fb,https://sagepays.xyz/proof/0x2b03ed6532b29771723c996a667b468e367935d0c2ff839840d5f00656449fb
2026-08-30T18:21:39.000Z,Starknet mainnet,"Testing campaign · starkscan.co",0.50,0x4f1f6530f84e4a1db7fa35bafc313174a2482a54c775c4321487eb0fe91f434,0x1a583c7b5a0e9bea621ee0a4c57c63873943bfa7f57b61d00dab1afa86ec694,https://sagepays.xyz/proof/0x1a583c7b5a0e9bea621ee0a4c57c63873943bfa7f57b61d00dab1afa86ec694
2026-08-30T17:40:08.000Z,Starknet mainnet,"Testing campaign · starkscan.co",0.50,0x5db1a00fa6ad44e82de90cae46d82cd5ce052394320d60946ef661db68e3048,0x6e44c0a041e0e0476b67cd301a085b5eb5674ce6518fdd2fa52d974ec55d36e,https://sagepays.xyz/proof/0x6e44c0a041e0e0476b67cd301a085b5eb5674ce6518fdd2fa52d974ec55d36e
2026-08-27T01:04:59.000Z,GOAT Network mainnet,"Deliverable proof run",0.50,0x41c4F9c6D5Bd1D970975436a875E94049D0e7699,0x0ca05e8fc6073cb9aa7b8c4ac8db705243d1ce76cd87f9aafd2931123ae47495,https://sagepays.xyz/proof/0x0ca05e8fc6073cb9aa7b8c4ac8db705243d1ce76cd87f9aafd2931123ae47495
2026-08-26T22:13:15.000Z,GOAT Network mainnet,"Deliverable proof run",0.50,0xcCbFB9bBa88F282282a29aa1338175Cc835E768D,0xb0120330aba99dcf25d5aba913d1c8ecf341782653f1b20b4eaafa575155d827,https://sagepays.xyz/proof/0xb0120330aba99dcf25d5aba913d1c8ecf341782653f1b20b4eaafa575155d827
2026-08-25T00:44:29.000Z,GOAT Network mainnet,"Testing campaign · www.metis.io",0.50,0xE012F77899058940baaCb2e4D139fE0a89B914a8,0x1134470c2300f0ab132aa8ec5ae5c15b9ad2a67427a9273efaab609643c551e4,https://sagepays.xyz/proof/0x1134470c2300f0ab132aa8ec5ae5c15b9ad2a67427a9273efaab609643c551e4
2026-08-25T00:35:32.000Z,GOAT Network mainnet,"Testing campaign · www.metis.io",0.50,0x91588578e37c2f3A90a8908876a0E4bdfBE9193f,0x9cf024e91e307f7e1c29b0ada5eeb6d278cfcce418db86c55ab09ea403de2a46,https://sagepays.xyz/proof/0x9cf024e91e307f7e1c29b0ada5eeb6d278cfcce418db86c55ab09ea403de2a46
2026-08-25T00:30:14.000Z,GOAT Network mainnet,"Testing campaign · www.metis.io",0.50,0xe37f26273708A8533c1B3974fB1f48EE74b9D488,0x07b71685183e83d267dca904c54271ac594c691cb1a47b37ee8b2c15767157df,https://sagepays.xyz/proof/0x07b71685183e83d267dca904c54271ac594c691cb1a47b37ee8b2c15767157df
2026-08-24T22:47:29.000Z,GOAT Network mainnet,"Testing campaign · www.metis.io",0.50,0x41c4F9c6D5Bd1D970975436a875E94049D0e7699,0xa869315ff744231761da239fe802a9a6555f6de6a416dc1bf1f06d0177b38b3b,https://sagepays.xyz/proof/0xa869315ff744231761da239fe802a9a6555f6de6a416dc1bf1f06d0177b38b3b
2026-08-16T04:36:15.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x5610C6F03e4F5488Eb10a2b73Eb8A3f7CaDD2A63,0xcc260b8cd4c6d988dea90083acaaa068b351892623185a3133b610124564f35a,https://sagepays.xyz/proof/0xcc260b8cd4c6d988dea90083acaaa068b351892623185a3133b610124564f35a
2026-08-16T04:29:45.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0xEF029FE0a5225F0B0441A8F711260F592ED36685,0x0a6e69d6f2cd1b0ce70a402aa851214e6708f173644d86468fc339000b7489c0,https://sagepays.xyz/proof/0x0a6e69d6f2cd1b0ce70a402aa851214e6708f173644d86468fc339000b7489c0
2026-08-16T04:18:01.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x2161f4987aA4A30d450da1025Fd74CFB48b70dc6,0x41c5933a622e4a859b59aa1558558f0396c4f7b5af2ddda49b56993bdd6325e3,https://sagepays.xyz/proof/0x41c5933a622e4a859b59aa1558558f0396c4f7b5af2ddda49b56993bdd6325e3
2026-08-16T04:06:00.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0xCd6bedc32749234D9C6dd8BC992A935ddBBF8502,0x431f3948a01139724d9efdfe5e490ec8889d3dc12f16190fc67190f57dc51215,https://sagepays.xyz/proof/0x431f3948a01139724d9efdfe5e490ec8889d3dc12f16190fc67190f57dc51215
2026-08-16T04:02:51.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x9d365770d2dF7D25631B8C84A86780F1045Ed0B8,0x3effb9c98fd164ff28281f0c6adbabe3073e1a3277dbf5a963f669fb456a677e,https://sagepays.xyz/proof/0x3effb9c98fd164ff28281f0c6adbabe3073e1a3277dbf5a963f669fb456a677e
2026-08-16T03:52:25.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x0Bd9c33CD8CAEE1baE10d6CdA449aDaC300D8843,0x29b4c31b93ecdc729e2fec05fbf28cf17621250a6ece580f387e5f512e44ddf0,https://sagepays.xyz/proof/0x29b4c31b93ecdc729e2fec05fbf28cf17621250a6ece580f387e5f512e44ddf0
2026-08-16T03:52:04.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x41c4F9c6D5Bd1D970975436a875E94049D0e7699,0xe7995cf452a9c2c49f6a98cf4de7940572db830f82ef15ac5380b01a8570c5b3,https://sagepays.xyz/proof/0xe7995cf452a9c2c49f6a98cf4de7940572db830f82ef15ac5380b01a8570c5b3
2026-08-16T03:51:42.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x89d4C4EAD2a7f8A6e637a0eCD9D4D9952F89699a,0x45d995d5640db9c48d5b04facfa77c03e302fd3d3d7e1e5e3209b323965afc4e,https://sagepays.xyz/proof/0x45d995d5640db9c48d5b04facfa77c03e302fd3d3d7e1e5e3209b323965afc4e
2026-08-16T03:51:22.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x1707e34b0764030471F3A6cca1791Eb50619b914,0xbf07438d01d297b8943200334c7882686d4c1820b731db4b90f69caab3f65bfb,https://sagepays.xyz/proof/0xbf07438d01d297b8943200334c7882686d4c1820b731db4b90f69caab3f65bfb
2026-08-16T03:50:59.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",2.50,0x7b656f9ba94bF34F534BE5229122332A58D253b6,0x34c9beac76754c4219b4fffa6d20f1f0a41319049f4e22ca6b119ec16c6adb78,https://sagepays.xyz/proof/0x34c9beac76754c4219b4fffa6d20f1f0a41319049f4e22ca6b119ec16c6adb78
2026-08-14T07:23:29.000Z,GOAT Network mainnet,"Testing campaign · clawup.org",4.74,0x9F9D38c2F1991f8F05cEafE2614832308c9f2560,0xc19da3d24df06a604346f69c3e9e9fb8fa5842b4902220fb2683cdeb103db86b,https://sagepays.xyz/proof/0xc19da3d24df06a604346f69c3e9e9fb8fa5842b4902220fb2683cdeb103db86b
2026-08-14T06:52:41.000Z,GOAT Network mainnet,"Testing campaign · clawup.org",4.74,0x9f5E1a64749a8BC444205d84567e0a30f5c80f39,0xc1f0319ce64a650b146b0c66c4a59266da19d5ec53ca5a0c58f450075092d3a5,https://sagepays.xyz/proof/0xc1f0319ce64a650b146b0c66c4a59266da19d5ec53ca5a0c58f450075092d3a5
2026-08-14T05:51:11.000Z,GOAT Network mainnet,"Testing campaign · clawup.org",5.26,0x181B4Ad58448bc008EAf16CAFe790069944d515C,0x7ddbf23d7a28530690d2ef396635e257ce5de5e21e3f9416bbbe339c16fccd84,https://sagepays.xyz/proof/0x7ddbf23d7a28530690d2ef396635e257ce5de5e21e3f9416bbbe339c16fccd84
2026-08-14T05:34:53.000Z,GOAT Network mainnet,"Testing campaign · clawup.org",5.26,0x1Dc38CBE8Dd967d1156646c2bE56e1176E17DF1F,0x39a40e727e6cae70c9c66071ebbce827d3effa48ca4dcfa8feff612f9cfcb4ee,https://sagepays.xyz/proof/0x39a40e727e6cae70c9c66071ebbce827d3effa48ca4dcfa8feff612f9cfcb4ee
2026-07-31T01:58:26.000Z,GOAT Network mainnet,"Testing campaign · yara.garden",1.00,0xDF70f6E8e656E5bb714fF0E8CA176d76F26890e3,0x8df7767860692a12fed6f90fe8a88d9a103686bbaa9ceee3d067a1e7c6250069,https://sagepays.xyz/proof/0x8df7767860692a12fed6f90fe8a88d9a103686bbaa9ceee3d067a1e7c6250069
2026-07-22T10:30:19.000Z,GOAT Network mainnet,"Testing campaign · yara.garden",0.50,0xDF70f6E8e656E5bb714fF0E8CA176d76F26890e3,0x2936293ef62364ffb04e6968593f135af2508e4574110aa32d6d9939e3331299,https://sagepays.xyz/proof/0x2936293ef62364ffb04e6968593f135af2508e4574110aa32d6d9939e3331299
2026-07-22T10:29:58.000Z,GOAT Network mainnet,"Testing campaign · yara.garden",0.10,0x74FA4f8DB638Cb44f4cE5d08444cDBa1f224BeE6,0x5bf3d0bef743d50a7a1f5bdc52f62eac1d1874fcf56aed668c5e0d6781ff2bc6,https://sagepays.xyz/proof/0x5bf3d0bef743d50a7a1f5bdc52f62eac1d1874fcf56aed668c5e0d6781ff2bc6
2026-07-17T17:52:34.000Z,GOAT Network mainnet,"Testing campaign · yara.garden",0.50,0x74FA4f8DB638Cb44f4cE5d08444cDBa1f224BeE6,0xf1b8b38869d5dd6d15a6511a57f96103f1416cf2408065f7ed257a07212dbf69,https://sagepays.xyz/proof/0xf1b8b38869d5dd6d15a6511a57f96103f1416cf2408065f7ed257a07212dbf69
2026-07-13T18:28:33.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0.50,0x74FA4f8DB638Cb44f4cE5d08444cDBa1f224BeE6,0xd2483e5cfccd7dbe979683dfd8948cf9b022fe7348fa81fa127f91e785a8ffc4,https://sagepays.xyz/proof/0xd2483e5cfccd7dbe979683dfd8948cf9b022fe7348fa81fa127f91e785a8ffc4
2026-07-13T15:00:48.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0.50,0xDF70f6E8e656E5bb714fF0E8CA176d76F26890e3,0x95e513daab18b096dfb2dbe8578d5d4378de5bda76b15841aeef33333521028f,https://sagepays.xyz/proof/0x95e513daab18b096dfb2dbe8578d5d4378de5bda76b15841aeef33333521028f
